throw_id,t,x_raw,y_raw,z_raw,vel_x_ground_truth,vel_y_ground_truth,vel_z_ground_truth,vel_x_measured,vel_y_measured,vel_z_measured
5,0.066666667,-0.021956097,0.995647539,0.846583097,-0.717440794,-3.974029771,-1.874541479,-0.6637231,-3.499635391,-1.767747598
5,0.083333333,-0.035895786,0.932320805,0.815212175,-0.717440794,-3.974029771,-2.044979245,-0.836381321,-3.799604088,-1.882255316
5,0.1,-0.04899613,0.863283777,0.774769083,-0.717440794,-3.974029771,-2.215417012,-0.786020655,-4.142221668,-2.426585533
5,0.116666667,-0.059480975,0.801030396,0.740440639,-0.717440794,-3.974029771,-2.385854778,-0.629090656,-3.735202829,-2.059706609
5,0.133333333,-0.070377977,0.735994931,0.698888231,-0.717440794,-3.974029771,-2.556292544,-0.653820157,-3.902127909,-2.493144522
5,0.15,-0.083716479,0.669489201,0.654862016,-0.717440794,-3.974029771,-2.72673031,-0.800310108,-3.990343831,-2.641572877
5,0.166666667,-0.096178462,0.601883315,0.606416535,-0.717440794,-3.974029771,-2.897168076,-0.747718969,-4.056353164,-2.906728866
5,0.183333333,-0.107607283,0.537552462,0.556801992,-0.717440794,-3.974029771,-3.067605842,-0.685729268,-3.859851162,-2.976872584
5,0.2,-0.119567848,0.470036034,0.503154872,-0.717440794,-3.974029771,-3.238043608,-0.717633871,-4.050985671,-3.218827198
5,0.216666667,-0.130024196,0.400899208,0.448324589,-0.717440794,-3.974029771,-3.408481374,-0.627380894,-4.148209546,-3.289816974
5,0.233333333,-0.14794018,0.335909461,0.390443625,-0.717440794,-3.974029771,-3.57891914,-1.074959079,-3.89938484,-3.472857837
5,0.25,-0.156933178,0.262636956,0.327334321,-0.717440794,-3.974029771,-3.749356906,-0.539579837,-4.396350297,-3.786558269
5,0.266666667,-0.163561872,0.195220978,0.270283027,-0.717440794,-3.974029771,-3.919794673,-0.397721685,-4.044958661,-3.423077612
5,0.283333333,-0.179587761,0.124261001,0.200869917,-0.717440794,-3.974029771,-4.090232439,-0.961553304,-4.257598637,-4.164786622
5,0.3,-0.195613649,0.053301024,0.131456806,-0.717440794,-3.974029771,-4.260670205,-0.961553304,-4.257598637,-4.164786622
5,0.316666667,-0.207395054,-0.022281094,0.055438968,-0.717440794,-3.974029771,-4.431107971,-0.706884274,-4.534927052,-4.561070301
6,0,0.092072732,1.076272368,0.889961901,,,,0.045025683,-3.416917737,-1.599381159
6,0.016666667,0.09282316,1.019323739,0.863305548,-0.035599978,-3.45262704,-1.888421553,0.045025683,-3.416917737,-1.599381159
6,0.033333333,0.091630338,0.963752101,0.833735601,-0.035599978,-3.45262704,-1.991972463,-0.071569268,-3.334298246,-1.774196802
6,0.05,0.09211364,0.906197175,0.802330572,-0.035599978,-3.45262704,-2.095523373,0.028998076,-3.453295592,-1.884301759
6,0.066666667,0.092585576,0.847972025,0.768883483,-0.035599978,-3.45262704,-2.199074283,0.028316164,-3.493509001,-2.00682535
6,0.083333333,0.088110774,0.786501677,0.731970237,-0.035599978,-3.45262704,-2.302625193,-0.26848813,-3.688220844,-2.214794766
6,0.1,0.089749904,0.73068084,0.691888514,-0.035599978,-3.45262704,-2.406176103,0.09834783,-3.349250271,-2.40490337
6,0.116666667,0.09050442,0.67321716,0.653135697,-0.035599978,-3.45262704,-2.509727013,0.045270938,-3.447820745,-2.325169006
6,0.133333333,0.089842979,0.614946431,0.607615577,-0.035599978,-3.45262704,-2.613277923,-0.039686426,-3.496243741,-2.731207195
6,0.15,0.087096766,0.556848083,0.567483061,-0.035599978,-3.45262704,-2.716828833,-0.164772813,-3.485900895,-2.407950972
6,0.166666667,0.087650629,0.496900733,0.516800899,-0.035599978,-3.45262704,-2.820379743,0.033231804,-3.59684103,-3.040929722
6,0.183333333,0.088924166,0.438045723,0.465674595,-0.035599978,-3.45262704,-2.923930653,0.076412224,-3.531300572,-3.067578259
6,0.2,0.089339262,0.380958777,0.414525894,-0.035599978,-3.45262704,-3.027481563,0.024905726,-3.425216784,-3.068922031
6,0.216666667,0.089754357,0.32387183,0.363377194,-0.035599978,-3.45262704,-3.131032473,0.024905726,-3.425216784,-3.068922031
6,0.233333333,0.092825304,0.262415769,0.306316737,-0.035599978,-3.45262704,-3.234583383,0.184256838,-3.687363692,-3.423627378
6,0.25,0.091848428,0.203509447,0.24753322,-0.035599978,-3.45262704,-3.338134293,-0.058612601,-3.534379311,-3.527011028
6,0.266666667,0.094299891,0.146894512,0.188918234,-0.035599978,-3.45262704,-3.441685203,0.147087805,-3.396896102,-3.516899158
6,0.283333333,0.096751355,0.090279577,0.130303248,-0.035599978,-3.45262704,-3.545236113,0.147087805,-3.396896102,-3.516899158
6,0.3,0.077736349,0.042669995,0.07324604,-0.035599978,-3.45262704,-3.648787023,-1.140900343,-2.856574905,-3.423432483
6,0.316666667,0.057113862,0.010397072,0.054224884,-0.035599978,-3.45262704,-3.752337933,-1.237349238,-1.936375367,-1.141269365
7,0,0.070251528,1.064675212,0.931215233,,,,-0.220349029,-3.774237811,-1.432058317
7,0.016666667,0.066579044,1.001771248,0.907347594,-0.248470424,-3.834520332,-1.534537434,-0.220349029,-3.774237811,-1.432058317
7,0.033333333,0.06278782,0.939374763,0.882372644,-0.248470424,-3.834520332,-1.667146737,-0.227473463,-3.743789147,-1.498497031
7,0.05,0.058646642,0.878521556,0.855693605,-0.248470424,-3.834520332,-1.799756041,-0.248470659,-3.651192363,-1.600742318
7,0.066666667,0.052316081,0.812261164,0.822137981,-0.248470424,-3.834520332,-1.932365344,-0.379833675,-3.975623544,-2.013337461
7,0.083333333,0.049658708,0.74669658,0.787553512,-0.248470424,-3.834520332,-2.064974647,-0.159442355,-3.933875033,-2.075068104
7,0.1,0.044787391,0.683497186,0.751655418,-0.248470424,-3.834520332,-2.197583951,-0.292279018,-3.791963625,-2.153885659
7,0.116666667,0.012136419,0.635605126,0.72577803,-0.248470424,-3.834520332,-2.330193254,-1.959058352,-2.873523632,-1.552643252
7,0.133333333,0.01218231,0.57061459,0.685739369,-0.248470424,-3.834520332,-2.462802558,0.002753476,-3.899432172,-2.402319683
7,0.15,0.00750632,0.504088084,0.64020977,-0.248470424,-3.834520332,-2.595411861,-0.280559421,-3.991590335,-2.731775932
7,0.166666667,0.005712254,0.440533422,0.595918354,-0.248470424,-3.834520332,-2.728021165,-0.107643951,-3.813279729,-2.657484974
7,0.183333333,0.005961001,0.372387515,0.547588291,-0.248470424,-3.834520332,-2.860630468,0.014924849,-4.088754417,-2.899803757
7,0.2,0.002958677,0.309253389,0.495041825,-0.248470424,-3.834520332,-2.993239772,-0.180139463,-3.78804758,-3.152787966
7,0.216666667,0.002159625,0.241177388,0.44113891,-0.248470424,-3.834520332,-3.125849075,-0.047943136,-4.084560071,-3.234174933
7,0.233333333,-0.000266573,0.176346481,0.388334479,-0.248470424,-3.834520332,-3.258458379,-0.14557183,-3.889854381,-3.168265814
7,0.25,-0.000795187,0.109531847,0.328276556,-0.248470424,-3.834520332,-3.391067682,-0.031716885,-4.008878039,-3.603475371
7,0.266666667,-0.001323802,0.042717213,0.268218634,-0.248470424,-3.834520332,-3.523676986,-0.031716885,-4.008878039,-3.603475371
